date,market_regime
2024-09-19,Low Vol / Downtrend
2024-09-20,Low Vol / Downtrend
2024-09-21,Low Vol / Downtrend
2024-09-22,Low Vol / Downtrend
2024-09-23,Low Vol / Downtrend
2024-09-24,Low Vol / Downtrend
2024-09-25,High Vol / Downtrend
2024-09-26,High Vol / Downtrend
2024-09-27,High Vol / Uptrend
2024-09-28,High Vol / Downtrend
2024-09-29,High Vol / Uptrend
2024-10-02,High Vol / Uptrend
2024-10-03,High Vol / Uptrend
2024-10-04,High Vol / Uptrend
2024-10-05,High Vol / Uptrend
2024-10-06,High Vol / Uptrend
2024-10-07,High Vol / Uptrend
2024-10-08,Low Vol / Uptrend
2024-10-09,Low Vol / Uptrend
2024-10-10,Low Vol / Uptrend
2024-10-11,Low Vol / Uptrend
2024-10-13,Low Vol / Uptrend
2024-10-13,Low Vol / Uptrend
2024-10-14,Low Vol / Uptrend
2024-10-14,Low Vol / Uptrend
2024-10-15,Low Vol / Uptrend
2024-10-15,Low Vol / Uptrend
2024-10-16,Low Vol / Uptrend
2024-10-16,Low Vol / Uptrend
2024-10-17,Low Vol / Uptrend
2024-10-17,Low Vol / Uptrend
2024-10-18,Low Vol / Uptrend
2024-10-18,Low Vol / Uptrend
2024-10-19,Low Vol / Uptrend
2024-10-19,Low Vol / Uptrend
2024-10-20,Low Vol / Uptrend
2024-10-20,Low Vol / Uptrend
2024-10-21,Low Vol / Uptrend
2024-10-21,Low Vol / Uptrend
2024-10-22,Low Vol / Uptrend
2024-10-22,Low Vol / Uptrend
2024-10-23,High Vol / Uptrend
2024-10-23,High Vol / Downtrend
2024-10-24,High Vol / Uptrend
2024-10-24,High Vol / Uptrend
2024-10-25,High Vol / Uptrend
2024-10-25,High Vol / Downtrend
2024-10-26,High Vol / Downtrend
2024-10-26,High Vol / Uptrend
2024-10-27,High Vol / Uptrend
2024-10-27,High Vol / Uptrend
2024-10-28,Low Vol / Uptrend
2024-10-28,Low Vol / Uptrend
2024-10-29,Low Vol / Uptrend
2024-10-29,Low Vol / Uptrend
2024-10-30,Low Vol / Uptrend
2024-10-30,Low Vol / Uptrend
2024-10-31,High Vol / Downtrend
2024-10-31,High Vol / Downtrend
2024-11-01,High Vol / Downtrend
2024-11-01,High Vol / Downtrend
2024-11-03,High Vol / Downtrend
2024-11-03,High Vol / Downtrend
2024-11-04,High Vol / Downtrend
2024-11-04,High Vol / Downtrend
2024-11-05,High Vol / Downtrend
2024-11-05,High Vol / Downtrend
2024-11-07,High Vol / Downtrend
2024-11-07,Low Vol / Uptrend
2024-11-08,Low Vol / Uptrend
2024-11-08,Low Vol / Uptrend
2024-11-09,Low Vol / Uptrend
2024-11-09,Low Vol / Uptrend
2024-11-10,High Vol / Uptrend
2024-11-10,High Vol / Uptrend
2024-11-11,High Vol / Uptrend
2024-11-11,High Vol / Downtrend
2024-11-12,High Vol / Downtrend
2024-11-12,High Vol / Downtrend
2024-11-13,High Vol / Downtrend
2024-11-13,High Vol / Downtrend
2024-11-14,High Vol / Downtrend
2024-11-14,Low Vol / Downtrend
2024-11-15,High Vol / Downtrend
2024-11-15,High Vol / Uptrend
2024-11-16,High Vol / Uptrend
2024-11-16,High Vol / Uptrend
2024-11-17,High Vol / Uptrend
2024-11-17,High Vol / Uptrend
2024-11-18,High Vol / Uptrend
2024-11-18,High Vol / Uptrend
2024-11-20,High Vol / Uptrend
2024-11-20,High Vol / Uptrend
2024-11-21,Low Vol / Uptrend
2024-11-21,Low Vol / Uptrend
2024-11-22,Low Vol / Uptrend
2024-11-22,Low Vol / Uptrend
2024-11-23,Low Vol / Uptrend
2024-11-23,Low Vol / Uptrend
2024-11-24,Low Vol / Uptrend
2024-11-24,Low Vol / Uptrend
2024-11-25,Low Vol / Uptrend
2024-11-25,Low Vol / Uptrend
2024-11-26,Low Vol / Uptrend
2024-11-26,Low Vol / Uptrend
2024-11-27,Low Vol / Uptrend
2024-11-27,Low Vol / Uptrend
2024-11-28,Low Vol / Uptrend
2024-11-28,Low Vol / Uptrend
2024-11-29,Low Vol / Uptrend
2024-11-29,High Vol / Uptrend
2024-11-30,High Vol / Downtrend
2024-11-30,High Vol / Downtrend
2024-12-01,High Vol / Downtrend
2024-12-01,High Vol / Downtrend
2024-12-02,High Vol / Downtrend
2024-12-02,High Vol / Downtrend
2024-12-03,High Vol / Downtrend
2024-12-03,High Vol / Downtrend
2024-12-04,High Vol / Downtrend
2024-12-04,High Vol / Downtrend
2024-12-05,High Vol / Downtrend
2024-12-05,Low Vol / Downtrend
2024-12-06,Low Vol / Downtrend
2024-12-06,Low Vol / Downtrend
2024-12-07,Low Vol / Downtrend
2024-12-07,Low Vol / Downtrend
2024-12-08,Low Vol / Downtrend
2024-12-08,Low Vol / Uptrend
2024-12-09,Low Vol / Uptrend
2024-12-09,Low Vol / Uptrend
2024-12-10,Low Vol / Uptrend
2024-12-10,Low Vol / Uptrend
2024-12-11,Low Vol / Uptrend
2024-12-11,Low Vol / Uptrend
2024-12-12,Low Vol / Uptrend
2024-12-12,Low Vol / Uptrend
2024-12-13,Low Vol / Uptrend
2024-12-13,Low Vol / Downtrend
2024-12-14,Low Vol / Downtrend
2024-12-14,Low Vol / Uptrend
2024-12-15,Low Vol / Uptrend
2024-12-15,Low Vol / Uptrend
2024-12-16,Low Vol / Uptrend
2024-12-16,Low Vol / Uptrend
2024-12-17,Low Vol / Downtrend
2024-12-17,Low Vol / Downtrend
2024-12-18,Low Vol / Downtrend
2024-12-18,Low Vol / Downtrend
2024-12-20,Low Vol / Downtrend
2024-12-20,Low Vol / Downtrend
2024-12-21,Low Vol / Downtrend
2024-12-21,Low Vol / Downtrend
2024-12-22,Low Vol / Downtrend
2024-12-22,Low Vol / Uptrend
2024-12-23,Low Vol / Uptrend
2024-12-23,Low Vol / Downtrend
2024-12-24,Low Vol / Uptrend
2024-12-24,Low Vol / Uptrend
2024-12-25,High Vol / Uptrend
2024-12-25,High Vol / Uptrend
2024-12-26,High Vol / Uptrend
2024-12-26,High Vol / Uptrend
2024-12-27,High Vol / Uptrend
2024-12-27,High Vol / Uptrend
2024-12-28,High Vol / Uptrend
2024-12-28,High Vol / Uptrend
2024-12-29,High Vol / Uptrend
2024-12-29,High Vol / Uptrend
2024-12-30,High Vol / Uptrend
2024-12-30,High Vol / Uptrend
2025-01-01,High Vol / Uptrend
2025-01-01,High Vol / Uptrend
2025-01-02,High Vol / Uptrend
2025-01-02,High Vol / Uptrend
2025-01-03,High Vol / Uptrend
2025-01-03,Low Vol / Uptrend
2025-01-04,Low Vol / Uptrend
2025-01-04,Low Vol / Uptrend
2025-01-05,Low Vol / Uptrend
2025-01-05,Low Vol / Uptrend
2025-01-06,Low Vol / Uptrend
2025-01-06,Low Vol / Uptrend
2025-01-07,Low Vol / Uptrend
2025-01-07,Low Vol / Uptrend
2025-01-08,Low Vol / Uptrend
2025-01-08,Low Vol / Uptrend
2025-01-09,Low Vol / Uptrend
2025-01-09,Low Vol / Downtrend
2025-01-10,Low Vol / Uptrend
2025-01-10,Low Vol / Uptrend
2025-01-11,Low Vol / Uptrend
2025-01-11,Low Vol / Uptrend
2025-01-12,Low Vol / Uptrend
2025-01-12,Low Vol / Downtrend
2025-01-13,Low Vol / Downtrend
2025-01-13,Low Vol / Downtrend
2025-01-14,Low Vol / Downtrend
2025-01-14,Low Vol / Downtrend
2025-01-15,High Vol / Uptrend
2025-01-15,High Vol / Uptrend
2025-01-16,High Vol / Uptrend
2025-01-16,High Vol / Uptrend
2025-01-17,High Vol / Uptrend
2025-01-17,High Vol / Uptrend
2025-01-18,High Vol / Uptrend
2025-01-18,High Vol / Uptrend
2025-01-19,High Vol / Uptrend
2025-01-19,High Vol / Uptrend
2025-01-20,High Vol / Downtrend
2025-01-20,Low Vol / Downtrend
2025-01-21,High Vol / Downtrend
2025-01-21,High Vol / Uptrend
2025-01-22,High Vol / Uptrend
2025-01-22,Low Vol / Uptrend
2025-01-23,High Vol / Uptrend
2025-01-23,High Vol / Uptrend
2025-01-25,High Vol / Uptrend
2025-01-25,High Vol / Uptrend
2025-01-26,High Vol / Uptrend
2025-01-26,High Vol / Uptrend
2025-01-27,High Vol / Downtrend
2025-01-27,High Vol / Downtrend
2025-01-28,High Vol / Downtrend
2025-01-28,High Vol / Downtrend
2025-01-30,High Vol / Downtrend
2025-01-30,High Vol / Downtrend
2025-01-31,High Vol / Downtrend
2025-02-01,High Vol / Uptrend
2025-02-01,High Vol / Downtrend
2025-02-02,Low Vol / Downtrend
2025-02-02,Low Vol / Downtrend
2025-02-03,Low Vol / Downtrend
2025-02-03,Low Vol / Downtrend
2025-02-04,Low Vol / Downtrend
2025-02-04,Low Vol / Downtrend
2025-02-05,Low Vol / Downtrend
2025-02-05,Low Vol / Downtrend
2025-02-06,Low Vol / Downtrend
2025-02-07,Low Vol / Downtrend
2025-02-07,Low Vol / Downtrend
2025-02-08,Low Vol / Downtrend
2025-02-09,Low Vol / Downtrend
2025-02-09,Low Vol / Downtrend
2025-02-10,High Vol / Downtrend
2025-02-10,High Vol / Downtrend
2025-02-11,High Vol / Downtrend
2025-02-11,High Vol / Downtrend
2025-02-12,High Vol / Downtrend
2025-02-12,High Vol / Downtrend
2025-02-13,High Vol / Downtrend
2025-02-14,High Vol / Uptrend
2025-02-14,High Vol / Uptrend
2025-02-15,High Vol / Uptrend
2025-02-15,High Vol / Uptrend
2025-02-16,High Vol / Uptrend
2025-02-17,High Vol / Uptrend
2025-02-17,High Vol / Downtrend
2025-02-18,High Vol / Downtrend
2025-02-18,High Vol / Downtrend
2025-02-19,High Vol / Downtrend
2025-02-19,High Vol / Downtrend
2025-02-20,High Vol / Downtrend
2025-02-21,High Vol / Downtrend
2025-02-22,High Vol / Uptrend
2025-02-22,High Vol / Uptrend
2025-02-23,High Vol / Uptrend
2025-02-23,High Vol / Uptrend
2025-02-24,High Vol / Uptrend
2025-02-24,High Vol / Uptrend
2025-02-25,High Vol / Uptrend
2025-02-26,High Vol / Uptrend
2025-02-27,High Vol / Uptrend
2025-03-01,High Vol / Uptrend
2025-03-02,High Vol / Uptrend
2025-03-03,High Vol / Uptrend
2025-03-04,High Vol / Uptrend
2025-03-05,High Vol / Uptrend
2025-03-06,High Vol / Uptrend
2025-03-07,High Vol / Downtrend
2025-03-08,High Vol / Uptrend
2025-03-09,High Vol / Downtrend
2025-03-10,High Vol / Downtrend
2025-03-11,High Vol / Downtrend
2025-03-12,High Vol / Downtrend
2025-03-13,High Vol / Downtrend
2025-03-14,High Vol / Downtrend
2025-03-15,High Vol / Downtrend
2025-03-16,High Vol / Downtrend
